Vineyard,Wine,quality,color
South,210,6,white
East,1205,6,white
North,510,5,white
West,1051,5,red
West,509,6,white
North,774,8,white
South,1321,7,white
South,265,6,red
North,1363,6,white
North,1072,6,white
West,295,6,white
West,1385,7,red
North,20,7,white
North,357,6,white
East,346,6,white
West,297,6,white
West,246,8,white
West,713,4,white
North,1427,6,red
East,1511,5,red
North,1274,5,white
West,896,6,white
South,1475,5,red
South,1465,5,white
West,931,5,white
East,753,5,white
West,1404,7,white
East,1578,7,white
South,1500,7,white
East,858,6,white
East,238,7,red
South,1212,6,white
South,1559,6,red
North,415,6,red
East,815,7,white
North,880,6,white
East,1185,6,red
East,696,6,white
North,752,8,red
North,922,5,red
North,613,6,red
South,1510,6,red
East,799,5,white
South,1496,5,white
East,850,7,white
South,517,6,white
East,1577,6,white
East,714,6,white
East,1196,6,white
South,1049,6,red
East,408,6,white
North,709,5,white
West,324,6,white
South,896,6,white
North,1,5,white
North,1541,7,white
South,322,6,red
East,200,5,white
North,7,7,white
East,386,6,white
South,1243,7,white
North,212,5,red
South,1396,4,red
West,604,6,white
South,576,5,white
South,803,7,white
East,239,6,white
North,1438,5,red
South,163,7,white
South,1113,5,red
West,1482,6,red
North,1521,6,white
West,1264,7,white
West,1419,6,white
South,1497,5,white
West,61,6,white
South,862,6,red
North,449,6,white
West,92,5,white
South,480,6,white
South,1573,6,red
West,640,6,white
West,578,6,white
South,1462,6,white
West,1077,6,red
East,1267,6,white
South,554,5,red
West,608,6,white
South,377,5,white
West,1075,6,red
North,566,6,red
East,144,5,white
South,1183,5,red
North,1150,5,white
South,1345,5,white
East,944,7,white
North,474,5,white
West,238,6,white
East,948,5,red
East,1081,8,red
West,1440,7,white
East,571,6,white
West,86,5,white
West,1330,6,white
East,795,7,white
West,490,5,white
East,515,5,white
North,1458,6,white
South,340,8,white
West,28,5,white
West,979,7,white
North,1035,6,white
West,1206,5,white
South,643,8,red
West,884,5,red
North,567,5,red
North,1070,7,white
North,268,6,white
South,186,5,white
South,466,6,white
North,1192,6,white
North,1399,7,white
East,1411,6,red
West,1624,7,white
East,358,6,white
East,354,5,white
South,668,6,red
North,389,7,white
South,859,6,white
East,1241,6,white
North,487,5,red
East,1013,6,white
West,185,5,white
South,422,6,white
East,1165,6,white
West,936,7,white
West,568,5,white
South,1230,6,white
North,533,4,red
East,1008,6,white
South,1583,7,white
West,1191,6,white
East,374,6,white
North,1488,5,white
North,639,6,red
North,1474,6,red
East,316,6,white
East,302,5,white
East,634,7,white
North,608,6,white
South,1387,5,white
West,924,5,red
South,285,6,white
East,1204,5,red
South,1414,6,white
East,932,6,red
North,276,5,white
South,1053,7,white
North,423,5,white
North,1552,6,white
East,874,5,white
East,564,5,red
East,747,6,white
South,1412,5,red
South,509,7,white
North,272,5,white
East,636,8,white
North,217,6,white
East,1048,4,white
East,117,6,white
West,1387,7,red
East,966,5,white
East,1369,5,white
West,900,7,red
South,721,5,white
West,1188,7,white
East,421,3,white
North,1027,6,red
West,914,5,red
South,74,6,white
West,889,5,white
West,377,5,white
East,455,6,white
East,691,7,white
North,748,7,white
South,1240,6,white
West,1039,6,white
North,313,8,white
East,1569,5,white
East,484,6,white
East,1071,7,white
North,1032,5,white
East,1153,7,white
West,579,6,red
East,1307,5,red
East,1610,6,white
East,342,7,white
South,652,4,white
East,212,5,white
North,848,6,red
North,36,5,white
West,412,5,white
North,1046,5,white
South,1077,4,red
West,1451,5,white
North,545,5,red
East,867,5,red
West,1450,5,red
West,360,5,white
South,418,6,white
South,1173,5,white
North,1187,8,white
South,915,6,white
North,937,6,white
South,968,5,white
North,866,5,white
West,1268,7,white
North,101,7,white
North,600,6,white
North,1267,6,white
East,837,5,white
North,1164,7,white
North,1538,6,red
West,1071,6,white
South,608,4,white
East,937,5,white
East,626,6,red
West,1401,7,white
East,53,6,red
South,789,5,white
South,298,5,white
West,35,7,white
West,257,5,white
North,1571,6,white
West,710,6,red
North,1369,5,white
North,609,5,white
North,799,6,white
East,1030,5,white
North,954,6,white
North,54,5,white
South,694,6,white
East,324,5,white
East,1120,5,red
East,141,7,white
South,110,7,white
East,1426,7,white
East,548,7,white
East,1449,6,white
South,1325,6,red
West,103,6,white
East,1385,6,white
West,752,7,white
North,82,6,white
West,94,7,white
North,337,5,white
East,1612,7,red
East,272,4,white
East,1548,7,white
North,146,5,white
West,1143,6,white
West,1222,5,red
North,959,5,white
East,555,5,red
South,959,6,white
East,1306,4,white
South,306,6,white
North,409,3,white
East,1392,6,white
East,99,6,white
West,1076,7,white
West,722,6,white
West,731,7,white
West,556,5,white
West,97,6,white
North,341,6,white
East,977,6,white
South,202,5,red
West,1539,6,white
South,627,6,red
North,838,7,white
South,344,5,red
East,1609,6,white
South,1432,6,white
East,1068,5,white
East,1539,6,white
West,1525,5,red
West,911,5,white
East,31,6,white
East,403,5,red
East,1003,7,white
West,1208,7,white
West,1335,5,white
South,541,6,white
North,1207,6,white
East,615,6,white
East,1497,6,red
West,1374,5,white
East,613,6,red
North,558,6,white
North,1252,5,white
West,1380,5,white
West,325,5,red
East,468,6,white
North,708,6,white
East,174,6,white
North,1412,5,red
North,329,5,white
East,554,6,red
South,1068,7,white
East,1250,5,white
North,1254,6,white
East,1558,6,white
East,142,5,white
South,791,6,red
North,885,6,white
South,380,6,white
West,1494,6,white
South,1554,6,white
East,150,7,white
South,603,6,white
West,1037,6,white
East,1179,8,red
East,1357,7,white
South,337,5,red
West,1080,6,white
East,646,5,white
West,427,6,white
North,571,6,white
East,1283,7,white
West,790,7,red
South,1006,7,red
South,936,6,white
East,1359,6,white
West,990,6,white
East,621,7,white
South,368,6,white
South,1418,5,red
West,23,5,white
North,283,5,white
West,1399,5,white
East,688,6,white
South,562,5,red
North,530,6,white
North,86,6,white
West,811,5,red
West,448,5,white
West,379,5,red
West,48,5,white
North,24,6,white
South,1427,4,red
South,857,7,white
North,285,5,white
East,1499,7,white
North,1133,6,white
West,1326,6,white
East,955,5,white
West,1128,6,white
East,355,6,white
East,526,5,white
East,26,5,white
South,18,6,white
South,956,7,white
South,535,5,white
South,1504,5,white
North,299,4,white
South,170,5,white
East,1014,6,white
West,1086,5,white
East,599,6,white
West,627,5,red
North,622,7,white
West,1604,5,white
West,964,5,red
West,1540,5,white
East,540,5,red
West,46,5,white
North,1392,6,white
East,148,6,white
East,66,5,white
West,209,5,red
North,14,4,white
East,1460,6,red
North,75,8,white
West,1546,6,white
North,548,5,red
East,387,5,white
South,793,6,red
South,1479,6,white
West,839,5,red
South,56,5,red
South,1535,5,red
North,245,6,red
North,1304,7,red
West,69,5,red
North,83,7,white
West,1617,6,white
South,200,5,white
East,5,6,white
East,545,6,white
South,1528,5,white
North,309,6,white
South,544,6,white
South,1425,6,white
North,1302,5,red
East,440,6,white
West,1396,7,white
West,1073,5,white
North,1360,6,white
North,430,8,white
East,1391,5,red
South,618,5,white
West,1062,5,red
East,631,5,white
North,1472,6,white
South,295,6,white
West,1020,6,white
North,964,7,white
South,1178,7,white
South,846,5,red
South,1097,6,white
North,1020,8,white
West,1252,5,white
North,317,6,white
North,500,5,white
South,330,5,white
North,398,6,white
West,1179,6,white
East,1069,6,red
West,1160,6,white
East,1490,5,red
North,437,6,white
South,1000,7,white
West,927,5,white
North,384,5,white
South,362,6,white
North,108,7,white
West,1228,3,white
North,477,5,red
North,1542,6,red
North,1345,6,white
North,294,3,white
South,491,6,red
North,1122,7,white
South,521,5,white
South,995,5,white
South,1020,5,white
East,1400,7,white
West,1493,7,red
North,250,7,white
West,88,6,white
West,496,6,white
North,319,7,white
South,1477,5,red
South,229,6,red
North,288,5,white
South,454,6,white
West,569,8,white
West,1520,7,white
South,59,5,red
North,759,6,red
North,1047,6,white
West,1612,7,white
South,1351,6,white
South,1561,7,red
West,1481,6,white
East,498,5,white
East,533,6,red
South,1379,5,white
North,923,6,white
North,47,7,white
South,1364,4,white
West,877,6,white
East,582,7,white
North,234,6,white
North,675,5,red
East,340,6,white
South,601,5,white
West,1576,6,red
East,1437,5,red
East,312,7,white
North,1271,7,white
South,1102,7,red
South,1331,7,white
East,1190,6,white
West,1376,6,white
North,1517,5,white
South,433,6,white
South,231,4,white
South,1273,6,red
South,651,6,white
East,765,6,white
East,1432,5,white
North,952,5,red
North,642,6,white
West,1114,5,red
South,1544,6,red
East,451,6,white
West,499,6,white
North,504,7,white
North,1054,6,red
South,270,6,white
South,993,6,red
West,1309,5,red
West,495,6,white
North,350,5,red
East,776,6,white
South,1122,6,white
West,3,6,red
West,698,6,red
North,352,5,red
East,1414,7,white
North,1526,7,white
East,343,5,white
East,1606,7,white
South,399,5,white
West,776,5,red
West,211,6,white
East,556,5,white
West,995,6,white
East,796,8,white
North,1236,6,white
East,1149,7,white
South,243,7,white
North,1452,5,white
West,452,5,red
North,1011,5,red
South,157,5,white
East,475,5,red
West,740,7,white
West,303,6,white
North,26,5,white
North,847,6,white
West,614,5,white
South,448,6,white
South,199,5,white
East,143,6,white
East,653,6,white
East,1300,6,white
South,1259,7,white
West,282,5,red
West,1260,7,white
West,1161,5,white
West,1152,6,white
West,714,7,white
South,328,6,red
East,1034,5,white
South,1105,7,white
South,1413,7,white
East,1286,6,white
East,1387,6,white
East,67,5,red
West,984,5,red
North,538,6,white
West,560,8,white
North,676,6,white
West,1487,6,white
South,1209,7,white
East,780,7,white
West,555,6,white
South,583,6,white
East,627,6,white
East,546,7,white
North,263,6,red
North,1481,6,red
North,1159,6,red
South,1239,7,white
West,1378,6,red
East,649,7,white
West,1064,5,white
East,685,6,red
West,1238,5,white
West,657,6,white
East,960,6,red
North,488,7,red
East,499,5,white
East,1595,6,white
West,1131,5,white
South,1135,5,red
North,743,5,white
West,1048,6,white
East,530,5,white
West,703,7,white
West,222,6,white
East,1470,5,white
North,427,4,white
North,1608,5,red
East,1576,6,red
East,990,6,white
North,69,6,white
North,1349,6,red
North,512,6,white
South,1452,6,white
South,284,7,white
East,1322,5,white
East,610,8,white
East,1365,6,white
East,911,7,white
South,1355,5,white
East,724,7,white
South,963,6,white
East,1146,5,white
South,176,6,white
West,1027,6,red
North,1557,5,white
East,1254,5,white
South,745,6,white
West,1183,6,white
West,354,7,white
West,1543,6,white
South,977,5,white
West,1441,6,white
West,456,6,red
North,58,5,white
South,1252,6,white
East,982,6,white
South,853,6,white
North,793,7,white
South,1578,7,white
East,1463,5,white
South,1538,7,red
West,998,6,white
North,555,6,white
North,1313,5,white
West,550,7,white
South,1386,5,white
West,542,6,white
South,1176,5,white
South,1625,5,white
South,175,7,white
East,1032,8,white
North,136,6,white
North,900,7,white
North,1454,6,white
East,1325,7,white
East,784,4,white
East,1483,6,white
North,728,7,white
West,351,7,white
West,134,5,white
South,674,5,white
West,741,5,white
West,1036,5,white
South,1521,6,white
North,1106,6,white
North,705,5,white
West,1357,5,white
South,934,7,white
North,517,6,white
North,1075,6,white
North,811,6,white
North,454,8,white
West,266,6,white
West,200,5,white
West,1352,5,white
East,39,5,white
South,889,5,white
South,1139,5,white
East,700,7,red
North,775,6,white
West,1445,6,white
West,346,6,white
East,1051,7,white
East,56,6,white
East,597,6,red
South,795,6,red
South,578,5,white
South,667,5,white
West,567,5,white
East,1382,5,white
East,1262,6,white
East,1448,6,red
West,1349,5,white
North,1324,7,white
East,326,6,white
West,852,5,red
West,806,5,white
North,170,7,white
West,1391,5,red
North,1347,6,white
West,962,5,white
South,1457,5,red
South,1010,6,white
West,1156,5,white
North,1139,5,white
East,1121,6,white
South,678,6,white
North,1272,6,white
West,611,6,red
South,335,6,white
East,1601,4,white
East,345,5,white
North,1249,5,white
South,1288,5,white
West,1101,6,white
East,1236,7,white
South,274,7,white
South,1377,5,red
South,799,7,white
North,343,5,white
South,447,6,white
West,681,5,white
North,293,4,white
West,281,6,white
North,134,6,white
North,975,5,white
North,965,5,red
North,497,5,white
North,1582,6,red
North,617,6,red
North,1265,5,red
East,1252,5,white
North,1448,6,white
South,641,4,white
North,142,5,white
North,1461,6,white
East,1556,6,white
South,708,6,white
South,215,6,white
South,749,6,white
East,1383,6,white
North,972,5,red
East,1178,6,white
North,1593,6,white
East,278,6,red
South,515,7,white
South,360,5,white
North,810,3,white
East,1192,7,white
North,278,6,white
North,1489,5,red
North,1367,6,white
South,931,5,white
South,855,7,white
East,1041,7,white
West,1283,6,white
East,755,5,white
South,354,6,white
East,1557,6,white
West,1256,6,red
South,437,7,white
North,1093,5,white
West,1087,7,white
North,674,3,white
East,595,6,red
East,876,7,white
West,823,5,white
West,315,8,white
East,82,4,white
North,773,5,white
West,1534,6,white
South,788,6,white
North,1190,6,white
North,1372,6,white
North,68,7,white
East,1591,6,white
North,862,6,red
East,1339,4,white
North,825,5,white
West,1623,7,white
East,1295,7,white
West,1144,6,red
North,1292,6,white
South,119,6,white
South,37,5,white
East,1389,5,red
North,912,5,red
East,939,6,white
South,665,5,white
North,1136,7,white
South,364,6,white
East,751,7,white
South,783,5,white
East,924,6,white
East,1175,7,white
North,1478,7,white
West,782,5,white
South,808,7,red
North,266,7,white
East,1562,6,white
West,213,7,white
West,292,5,white
West,1588,6,red
West,662,7,white
East,1615,6,white
South,446,6,white
North,1384,6,white
North,1017,5,white
North,44,6,white
North,1466,6,white
East,581,6,red
South,747,6,white
West,273,6,white
North,1323,5,white
West,399,5,white
East,1037,5,white
East,887,6,white
North,1158,6,white
North,1415,7,white
West,910,7,red
South,352,5,white
East,118,6,red
East,89,7,white
South,1333,5,red
West,699,6,white
East,411,5,red
East,1589,5,red
East,1597,7,red
East,559,5,white
West,866,5,red
East,1058,6,white
East,70,5,white
South,1318,7,white
West,49,6,white
West,784,5,red
North,378,5,red
East,661,5,white
South,527,4,white
North,1410,5,white
East,416,5,white
West,915,5,red
West,42,5,red
East,1170,6,white
East,883,5,white
North,706,5,red
West,1082,8,white
West,1621,6,red
East,203,6,white
West,1462,7,white
South,12,5,white
North,989,6,white
East,1256,8,white
North,424,6,red
South,241,7,white
West,1583,7,white
South,503,5,white
West,268,6,white
South,903,5,white
West,700,6,red
West,1016,6,red
South,1553,6,red
West,1405,5,white
South,359,5,white
East,662,6,white
South,912,5,red
South,79,6,white
South,1042,6,white
East,2,7,red
North,145,6,white
East,1271,5,white
East,488,8,white
West,513,7,white
South,738,7,white
South,976,5,white
North,1087,6,white
East,1289,7,white
West,696,5,white
West,1290,5,red
South,378,5,red
West,1153,5,white
South,840,5,red
West,1212,7,white
East,1509,7,white
South,126,6,white
North,163,6,white
East,986,5,white
West,466,8,white
North,1321,5,red
East,280,8,white
South,216,6,white
West,271,6,white
South,47,5,white
West,380,6,white
North,1112,5,red
North,242,6,white
East,931,5,red
West,405,5,white
North,315,6,white
East,267,7,white
East,1114,6,white
West,1416,6,white
North,1231,7,red
North,425,6,white
West,612,6,white
West,580,4,white
South,836,5,red
East,1292,6,white
West,994,6,white
South,837,6,white
West,922,6,red
West,1505,5,white
East,495,6,white
South,625,5,white
East,1301,8,white
North,491,5,white
North,568,5,white
South,271,5,white
West,478,6,white
East,246,6,white
South,633,6,white
North,968,6,white
South,1152,5,white
West,1363,5,white
North,1246,5,white
East,1227,6,red
South,1350,6,red
West,32,5,red
East,783,6,white
North,120,6,red
South,596,7,white
North,304,7,red
West,1381,7,red
East,216,6,white
East,805,5,white
North,1209,6,white
South,1330,7,red
West,948,5,red
North,951,7,white
West,1134,5,red
North,183,8,white
West,102,5,white
North,528,7,white
North,525,5,red
East,90,5,red
East,467,5,white
North,994,6,white
West,595,6,white
North,1144,7,white
East,1445,6,white
West,711,5,white
East,454,5,white
West,892,6,white
West,1129,5,white
North,1167,6,white
South,640,5,white
North,899,6,white
West,709,6,white
North,1185,6,red
West,115,6,white
East,1467,7,white
South,639,5,white
South,312,5,red
West,27,6,red
South,1405,5,white
West,886,4,white
East,785,6,white
East,116,5,white
East,1530,5,white
East,1231,5,white
South,1009,5,red
South,962,7,white
West,362,6,white
South,1569,6,white
South,819,6,white
North,1510,6,white
East,1620,5,red
South,1111,5,white
South,1007,7,white
East,54,5,white
North,1416,6,red
South,927,7,white
South,957,6,white
East,698,6,white
North,1573,4,white
North,11,7,red
North,1471,6,white
South,75,6,white
North,252,6,white
North,18,7,red
West,272,6,white
North,1444,6,white
West,1443,5,white
North,681,5,white
West,878,7,white
West,589,5,red
West,1323,5,white
South,161,6,white
South,25,7,white
East,771,5,white
East,1401,7,white
East,22,6,white
East,825,4,white
West,1100,6,white
North,935,5,red
East,1431,6,white
West,987,6,white
South,904,6,white
West,860,7,red
West,1028,5,white
North,1487,7,white
East,477,6,white
East,593,6,white
South,1180,6,red
South,1110,5,white
West,1243,5,red
North,290,5,red
East,741,7,white
South,1365,6,white
West,1019,6,white
West,1159,5,white
East,485,7,red
South,1086,5,white
South,555,6,white
North,1535,6,white
East,60,7,red
West,277,6,white
West,218,6,white
East,1200,7,white
West,950,6,white
West,191,6,red
South,1279,7,white
West,610,7,white
North,652,5,white
East,1138,5,red
West,1544,6,red
East,42,7,white
West,1509,5,white
South,940,5,white
West,989,5,white
East,449,6,white
West,318,4,white
West,1333,6,white
East,1156,5,red
North,238,6,white
East,453,6,white
South,291,4,white
South,1511,6,white
North,392,5,white
South,1039,5,red
North,249,5,white
West,1595,5,white
West,40,6,white
West,1537,5,red
North,1065,6,white
West,1461,7,white
East,946,7,white
South,991,6,red
West,122,7,red
North,1178,7,red
West,854,7,red
West,194,4,white
South,580,6,white
East,370,5,red
North,1463,7,white
South,356,6,white
South,584,7,white
North,210,5,white
North,919,6,red
South,82,5,red
South,55,6,white
East,820,7,white
North,225,4,white
North,106,7,white
North,4,5,white
North,227,5,white
North,516,5,white
East,578,6,white
North,1022,6,white
East,222,5,white
South,894,5,red
East,1187,6,white
West,898,6,white
North,1260,4,white
West,1364,6,white
South,1229,4,red
North,1129,8,white
East,703,5,white
East,417,6,white
North,1604,5,red
South,1070,6,white
East,286,4,white
West,1237,4,red
West,363,7,white
West,1171,5,red
North,521,6,white
North,1556,6,red
East,109,7,red
West,289,6,white
North,1257,5,white
East,1238,6,red
North,490,5,red
East,1303,5,red
East,947,6,red
South,1566,5,red
West,243,6,white
East,297,7,red
South,1507,5,red
East,523,6,white
North,1184,5,white
East,921,8,white
East,404,6,red
North,1303,6,white
North,796,6,white
West,168,6,red
South,1071,5,white
West,406,6,white
East,884,6,white
South,1332,5,white
East,281,6,white
North,782,7,white
North,583,5,red
North,1156,5,white
West,299,6,white
West,1299,5,red
South,1604,8,white
South,804,6,white
West,716,6,red
North,105,6,white
West,1308,5,white
East,1287,7,white
South,1342,5,white
North,1004,6,red
West,974,6,white
South,878,6,red
East,682,6,white
South,1478,6,white
West,244,6,white
South,486,6,white
West,11,6,red
East,547,3,white
South,1346,5,white
North,1523,6,red
South,24,5,red
North,363,6,white
East,1122,5,white
East,1208,5,white
North,1386,6,red
North,786,5,red
West,600,7,white
North,359,6,white
North,971,5,white
South,1368,6,white
West,1106,5,red
North,1138,5,white
South,911,6,white
North,1002,4,red
East,1312,5,white
West,121,6,white
East,234,7,red
East,812,6,red
South,250,5,white
West,1235,7,red
East,903,5,red
East,287,6,white
West,1198,8,white
West,356,5,white
North,735,5,red
North,698,5,white
West,552,5,white
West,590,7,white
South,1408,5,white
East,1373,5,white
South,338,6,white
East,291,7,white
South,1420,7,white
West,756,6,white
West,666,6,white
West,997,7,white
West,1355,7,white
North,1397,6,white
South,400,6,white
North,179,6,white
West,732,6,white
East,1243,6,white
South,1200,6,white
South,602,5,red
North,302,5,white
North,738,5,white
North,800,8,white
West,1109,7,white
North,435,5,white
West,507,6,red
East,1145,3,red
East,1453,6,white
North,1506,6,white
South,125,5,white
North,537,6,white
East,1461,4,red
South,431,5,red
East,953,5,red
West,252,6,red
West,370,4,white
East,35,6,white
North,1402,7,white
North,1043,5,red
East,1136,6,red
East,1413,6,red
South,449,5,red
West,389,7,white
North,769,4,white
South,1312,6,white
South,1148,5,white
West,816,5,white
South,1352,6,white
North,776,6,white
South,304,5,red
East,507,6,white
North,1163,6,white
West,1370,6,white
North,806,7,white
West,571,6,white
West,195,5,red
North,444,6,red
North,559,5,red
South,559,6,white
East,161,6,red
North,307,7,white
West,1371,5,white
South,797,5,white
North,803,6,red
South,455,6,white
North,1379,6,white
East,164,5,white
South,998,6,white
West,1379,5,red
North,910,5,red
South,599,6,white
North,584,6,white
West,981,5,red
North,1331,7,white
North,732,5,white
South,1429,6,red
North,390,7,white
West,1219,6,white
East,630,5,white
East,1596,6,white
East,1538,5,white
East,247,5,white
East,1066,7,white
West,393,5,red
North,383,6,white
South,900,6,white
East,839,5,white
East,1406,6,red
West,1053,4,white
West,1061,6,white
West,47,5,red
East,458,5,red
East,249,7,red
South,1484,5,white
East,1531,6,white
South,685,6,white
South,425,6,white
West,333,5,red
South,112,7,white
West,1354,5,red
West,774,5,white
East,383,4,white
East,701,6,white
North,1283,6,white
South,331,6,white
North,1373,6,white
West,190,7,white
North,371,7,white
West,851,6,white
North,695,5,white
West,385,7,white
South,1375,5,white
South,1524,6,white
North,73,6,red
North,714,5,white
South,718,6,white
West,649,6,red
North,783,5,red
West,334,3,white
South,1125,5,red
East,957,6,white
North,1262,7,white
East,1294,6,white
West,1202,6,white
West,24,6,white
South,412,6,white
South,109,6,white
South,516,5,red
North,1186,6,white
South,65,5,red
West,876,6,white
East,406,5,red
North,529,6,red
South,159,6,red
West,596,8,white
South,1411,5,red
North,869,6,red
West,1305,5,red
South,585,7,white
West,1148,6,red
South,761,5,red
North,1554,7,white
West,415,4,white
West,1386,6,red
North,385,5,white
East,1422,6,white
South,700,5,white
East,1417,6,white
West,254,5,red
North,678,5,white
East,1347,5,white
South,1467,5,white
West,818,6,white
West,1293,8,white
North,590,6,white
South,594,5,red
North,749,6,white
West,432,5,red
North,1036,6,white
East,1246,6,white
North,1496,6,red
South,1250,6,white
West,836,6,white
West,909,6,white
West,566,6,white
North,645,5,white
East,1038,8,white
East,968,7,white
South,513,5,white
East,1358,5,red
East,828,5,white
North,1096,5,white
North,871,5,white
South,134,6,white
East,423,7,white
North,649,7,red
South,863,5,red
West,1190,6,white
South,1274,6,red
North,1550,6,white
North,1193,6,white
North,633,6,red
South,153,6,red
East,1101,6,white
West,1430,5,white
South,389,6,white
East,197,8,white
South,676,8,white
East,1275,6,white
East,1518,4,white
South,1301,6,red
North,1407,6,white
East,300,5,red
North,209,5,white
East,976,8,white
West,1310,7,red
North,1023,5,white
East,607,6,white
West,822,5,white
South,921,6,white
North,740,6,white
West,1384,6,white
North,1172,7,white
South,1228,6,white
North,1146,6,white
West,384,5,white
North,372,6,white
South,383,7,white
South,303,6,white
East,877,6,white
West,1375,6,white
East,1125,6,red
East,1410,6,white
South,1334,6,white
North,1188,4,white
North,376,5,red
East,77,7,white
West,1189,6,red
West,21,5,white
East,520,6,white
East,1522,4,white
South,899,6,white
West,1192,5,white
East,95,6,white
North,960,6,white
East,1085,7,white
North,643,6,white
West,291,6,white
South,693,7,white
North,125,5,red
North,1572,5,white
North,1010,7,white
North,731,6,white
South,824,7,white
West,1610,5,white
North,13,6,white
South,1018,5,white
North,274,7,red
North,696,6,white
South,197,7,white
South,1091,6,white
North,506,5,white
West,669,5,white
South,487,4,red
East,1169,6,white
West,563,6,white
South,1571,6,white
West,620,6,white
North,23,6,white
North,484,6,white
North,1308,6,white
East,896,6,red
North,1380,5,white
West,801,6,white
East,779,5,white
East,788,5,white
South,1192,6,red
South,395,6,white
West,905,6,white
East,301,6,red
West,1514,3,red
East,1510,5,white
East,322,6,red
East,995,6,white
West,586,6,red
East,1257,7,white
West,897,7,white
South,113,5,white
West,688,6,red
South,1034,5,white
West,630,7,white
East,669,6,red
North,344,6,white
North,1498,6,red
East,1594,7,white
West,802,6,red
North,1007,7,white
North,1238,7,white
North,582,5,white
South,1245,8,white
North,1401,5,red
West,1040,7,white
West,302,6,white
South,1197,6,white
West,1270,5,white
West,935,6,white
West,1563,5,white
North,1411,4,white
East,923,6,red
East,1116,5,red
East,1151,5,red
West,248,8,white
West,660,7,white
North,143,5,white
West,593,6,white
East,694,6,white
West,90,7,white
East,1277,6,white
East,1412,5,white
South,867,6,white
West,941,5,red
South,514,6,white
South,550,8,white
West,1321,5,red
East,170,6,white
East,1142,7,white
East,1007,7,white
South,1381,6,white
West,1298,5,white
East,138,6,white
South,472,6,red
South,575,7,white
East,1403,6,red
West,433,7,white
East,367,5,white
East,1157,6,white
South,634,6,white
West,1098,6,white
North,181,6,white
West,1541,7,red
South,392,6,white
West,1085,6,white
North,324,7,white
West,1097,7,white
South,275,5,red
North,957,7,red
West,879,6,white
North,426,5,white
North,1280,6,red
East,1566,5,white
South,245,5,white
West,312,7,red
South,88,5,red
South,1335,5,white
West,319,6,white
North,1170,6,white
West,5,6,white
West,56,6,white
North,453,6,white
East,311,5,white
East,186,5,red
North,534,5,red
West,723,6,red
East,229,5,white
East,1356,6,white
North,1503,6,white
South,53,7,white
North,1381,5,white
North,980,4,red
East,1078,7,white
North,667,6,white
North,883,5,white
East,1140,6,red
South,1162,6,red
North,400,5,white
North,661,6,white
North,2,6,white
South,1436,5,white
South,62,7,white
South,540,6,red
South,1518,6,white
South,1341,6,white
East,620,5,white
East,315,6,red
North,849,5,red
East,295,5,white
North,1153,4,red
South,64,6,white
South,30,5,red
North,1325,6,white
West,672,6,white
West,1597,6,white
West,1280,6,red
East,1104,5,white
