Vineyard,Wine,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol
North,1269,7.8,0.28,0.25,3.4,0.024,27,99,0.98959,2.98,0.37,13
South,1016,7.6,0.27,0.34,5,0.04,18,56,0.99084,3.06,0.48,12.4
East,1284,6.5,0.51,0.25,1.7,0.048,39,177,0.99212,3.28,0.57,10.6
South,1486,10,0.69,0.11,1.4,0.084,8,24,0.99578,2.88,0.47,9.7
South,385,7,0.3,0.28,2.2,0.042,21,177,0.99166,3.2,0.57,11.4
South,519,6.4,0.26,0.49,6.4,0.037,37,161,0.9954,3.38,0.53,9.7
South,673,7.2,0.2,0.61,16.2,0.043,14,103,0.9987,3.06,0.36,9.2
South,869,6.8,0.3,0.29,6.2,0.025,29,95,0.99071,3.03,0.32,12.9
North,505,8.8,0.6,0.29,2.2,0.098,5,15,0.9988,3.36,0.49,9.1
North,993,5.7,0.37,0.3,1.1,0.029,24,88,0.98883,3.18,0.39,11.7
West,104,8.9,0.5,0.21,2.2,0.088,21,39,0.99692,3.33,0.83,11.1
North,913,8,0.22,0.32,10.4,0.043,63,201,0.997,3.11,0.53,9.5
West,1478,9.6,0.56,0.31,2.8,0.089,15,46,0.9979,3.11,0.92,10
North,280,7.9,0.51,0.34,2.6,0.049,13,135,0.99335,3.09,0.51,10
East,61,6.1,0.19,0.37,2.6,0.041,24,99,0.99153,3.18,0.5,10.9
East,282,7.4,0.19,0.3,12.8,0.053,48.5,229,0.9986,3.14,0.49,9.1
North,924,8.1,0.17,0.21,1.6,0.036,24,119,0.99396,3.18,0.52,10.1
West,675,6.8,0.19,0.4,9.85,0.055,41,103,0.99532,2.98,0.56,10.5
West,390,6.8,0.23,0.29,15.4,0.073,56,173,0.9984,3.06,0.41,8.7
South,329,7.7,0.28,0.3,2,0.062,18,34,0.9952,3.28,0.9,11.3
East,114,7.6,0.33,0.35,6.3,0.036,12,126,0.9924,3.16,0.39,12
South,779,6.3,0.98,0.01,2,0.057,15,33,0.99488,3.6,0.46,11.2
South,1160,6.1,0.28,0.16,1.3,0.06,36,126,0.99353,3.13,0.46,8.7
South,1513,7.3,0.18,0.65,1.4,0.046,28,157,0.9946,3.33,0.62,9.4
South,375,13.8,0.49,0.67,3,0.093,6,15,0.9986,3.02,0.93,12
West,727,6.1,0.22,0.5,6.6,0.045,30,122,0.99415,3.22,0.49,9.9
East,1466,7.15,0.17,0.24,9.6,0.119,56,178,0.99578,3.15,0.44,10.2
West,956,5.7,0.43,0.3,5.7,0.039,24,98,0.992,3.54,0.61,12.3
South,1339,6.6,0.35,0.26,2.7,0.045,19,129,0.98952,3.24,0.48,13
East,1199,8.2,0.27,0.39,7.8,0.039,49,208,0.9976,3.31,0.51,9.5
North,1574,6.6,0.56,0.14,2.4,0.064,13,29,0.99397,3.42,0.62,11.7
South,1199,5.9,0.32,0.28,4.7,0.039,34,94,0.98964,3.22,0.57,13.1
South,1622,6.9,0.38,0.32,8.5,0.044,36,152,0.9932,3.38,0.35,12
North,557,8.3,0.15,0.39,1.3,0.055,32,146,0.993,3.08,0.39,10.5
East,285,7.6,0.13,0.34,9.3,0.062,40,126,0.9966,3.21,0.39,9.6
East,1504,8.7,0.54,0.26,2.5,0.097,7,31,0.9976,3.27,0.6,9.3
North,626,8,0.705,0.05,1.9,0.074,8,19,0.9962,3.34,0.95,10.5
East,110,6,0.25,0.4,5.7,0.052,56,152,0.99398,3.16,0.88,10.5
North,578,7.3,0.29,0.37,8.3,0.044,45,227,0.9966,3.12,0.47,9
North,94,7.1,0.2,0.34,16,0.05,51,166,0.9985,3.21,0.6,9.2
East,1602,7.1,0.27,0.28,1.25,0.023,3,89,0.98993,2.95,0.3,11.4
South,314,7.9,0.3,0.27,8.5,0.036,20,112,0.9939,2.96,0.46,11.7
West,1377,6.2,0.32,0.12,4.8,0.054,6,97,0.99424,3.16,0.5,9.3
North,196,6.2,0.24,0.29,13.3,0.039,49,130,0.9952,3.33,0.46,11
West,137,6.9,0.18,0.38,8.1,0.049,44,176,0.9958,3.3,0.54,9.8
North,1553,11.4,0.625,0.66,6.2,0.088,6,24,0.9988,3.11,0.99,13.3
West,1605,8.3,0.2,0.74,4.45,0.044,33,130,0.9924,3.25,0.42,12.2
East,1259,6.9,0.41,0.31,2,0.079,21,51,0.99668,3.47,0.55,9.5
West,533,6.4,0.37,0.19,3.5,0.068,18,101,0.9934,3.03,0.38,9
South,217,6.6,0.36,0.52,10.1,0.05,29,140,0.99628,3.07,0.4,9.4
East,255,6,0.13,0.28,5.7,0.038,56,189.5,0.9948,3.59,0.43,10.6
North,1520,5.6,0.66,0,2.5,0.066,7,15,0.99256,3.52,0.58,12.9
North,611,8.5,0.21,0.52,1.9,0.09,9,23,0.99648,3.36,0.67,10.4
East,639,6.8,0.27,0.37,8.2,0.055,52,192,0.99586,3.11,0.52,9.5
East,463,6,0.26,0.24,1.3,0.053,66,150,0.9924,3.21,0.62,10.4
East,768,6.8,0.915,0.29,4.8,0.07,15,39,0.99577,3.53,0.54,11.1
East,635,6,0.51,0,2.1,0.064,40,54,0.995,3.54,0.93,10.7
South,50,6,0.22,0.28,1.1,0.034,47,90,0.98862,3.22,0.38,12.6
East,1516,6.8,0.24,0.29,9.5,0.042,56,157,0.99586,3.11,0.51,10.1
North,102,8.5,0.32,0.42,2.3,0.075,12,19,0.99434,3.14,0.71,11.8
West,1223,8.8,0.47,0.49,2.9,0.085,17,110,0.9982,3.29,0.6,9.8
West,797,8.2,0.2,0.38,3.5,0.053,41,174,0.99306,3.22,0.41,11.6
North,657,7.5,0.58,0.14,2.2,0.077,27,60,0.9963,3.28,0.59,9.8
East,668,6.4,0.24,0.31,2.8,0.038,41,114,0.99155,3.37,0.66,11.7
North,308,6.8,0.25,0.28,5,0.035,42,126,0.99048,3.12,0.38,12.6
West,1193,7.1,0.31,0.5,14.5,0.059,6,148,0.9983,2.94,0.44,9.1
South,901,9.9,0.57,0.25,2,0.104,12,89,0.9963,3.04,0.9,10.1
East,30,6.6,0.7,0.08,2.6,0.106,14,27,0.99665,3.44,0.58,10.2
North,91,5.3,0.26,0.23,5.15,0.034,48,160,0.9952,3.82,0.51,10.5
West,1521,6.3,0.17,0.32,4.2,0.04,37,117,0.99182,3.24,0.43,11.3
West,791,6.4,0.1,0.35,4.9,0.048,31,103,0.9947,3.43,0.79,9.7
East,1189,5.3,0.275,0.24,7.4,0.038,28,114,0.99313,3.38,0.51,11
East,159,5.8,0.33,0.23,5,0.053,29,106,0.99458,3.13,0.52,9
West,1453,6.3,0.6,0.44,11,0.05,50,245,0.9972,3.19,0.57,9.3
South,784,8.9,0.75,0.14,2.5,0.086,9,30,0.99824,3.34,0.64,10.5
East,261,5.9,0.2,0.4,1.3,0.047,23,92,0.99232,3.2,0.45,10
West,1609,5.6,0.12,0.26,4.3,0.038,18,97,0.99477,3.36,0.46,9.2
South,390,7.2,0.4,0.24,8.5,0.055,45,151,0.99626,3.2,0.52,9.2
South,1517,7,0.2,0.37,2,0.03,26,136,0.9932,3.28,0.61,10.2
West,1209,6.9,0.41,0.33,10.1,0.043,28,152,0.9968,3.2,0.52,9.4
East,624,6.3,0.33,0.2,17.9,0.066,36,161,0.9991,3.14,0.51,8.8
West,522,5,0.38,0.01,1.6,0.048,26,60,0.99084,3.7,0.75,14
North,963,7.1,0.39,0.79,1.4,0.194,23,90,0.99212,3.17,0.46,10.5
West,1475,6.2,0.37,0.24,6.1,0.032,19,86,0.98934,3.04,0.26,13.4
East,87,6.8,0.25,0.27,10.7,0.076,47,154,0.9967,3.05,0.38,9
East,3,7.6,0.685,0.23,2.3,0.111,20,84,0.9964,3.21,0.61,9.3
North,692,6.7,0.24,0.36,8.4,0.042,42,123,0.99473,3.34,0.52,10.9
South,1357,6.8,0.24,0.34,2.7,0.047,64.5,218.5,0.9934,3.3,0.58,9.7
East,452,6.9,0.29,0.41,7.8,0.046,52,171,0.99537,3.12,0.51,9.6
South,943,5.7,0.21,0.32,0.9,0.038,38,121,0.99074,3.24,0.46,10.6
North,586,8.5,0.19,0.56,17.3,0.055,47,169,1.00047,3.07,0.67,9.3
West,1558,6.9,0.26,0.33,12.6,0.051,59,173,0.998,3.39,0.38,9.9
South,1215,6.1,0.59,0.01,2.1,0.056,5,13,0.99472,3.52,0.56,11.4
East,549,8,0.39,0.3,1.9,0.074,32,84,0.99717,3.39,0.61,9
North,1241,6.5,0.33,0.24,14.5,0.048,20,96,0.99456,3.06,0.3,11.5
South,598,7.7,0.26,0.26,2,0.052,19,77,0.9951,3.15,0.79,10.9
West,742,6.5,0.51,0.15,3,0.064,12,27,0.9929,3.33,0.59,12.8
East,214,7.2,0.15,0.38,1.2,0.038,18,110,0.9917,3.19,0.43,11.1
South,1443,7.7,0.2,0.44,13.9,0.05,44,130,0.99855,3.11,0.48,10
West,1220,7,0.28,0.36,1,0.035,8,70,0.9899,3.09,0.46,12.1
West,1197,7.8,0.2,0.32,5,0.016,31,101,0.99186,2.99,0.39,11
East,1434,6.6,0.24,0.27,10.3,0.047,54,219,0.99742,3.04,0.45,8.8
East,293,6.4,0.42,0.46,8.4,0.05,58,180,0.99495,3.18,0.46,9.7
East,852,6.6,0.24,0.38,12.75,0.034,8,74,0.99386,3.1,0.57,12.9
West,685,5.4,0.17,0.27,2.7,0.049,28,104,0.99224,3.46,0.55,10.3
West,1608,13.3,0.43,0.58,1.9,0.07,15,40,1.0004,3.06,0.49,9
West,39,6.6,0.19,0.25,1.2,0.052,34,181,0.99352,3.3,0.42,9.4
South,1193,6.5,0.17,0.54,8.5,0.082,64,163,0.9959,2.89,0.39,8.8
North,1228,8.3,0.21,0.49,19.8,0.054,50,231,1.0012,2.99,0.54,9.2
East,573,7,0.39,0.31,5.3,0.169,32,162,0.9965,3.2,0.48,9.4
East,760,7.2,0.23,0.39,1.5,0.053,26,106,0.99166,3.18,0.47,11.1
West,461,7.6,0.36,0.44,8.3,0.255,28,142,0.9958,3.12,0.43,10.2
East,1023,6.4,0.15,0.29,1.8,0.044,21,115,0.99166,3.1,0.38,10.2
East,251,8.1,0.82,0,4.1,0.095,5,14,0.99854,3.36,0.53,9.6
East,1459,6.1,0.22,0.38,2.8,0.144,12,65,0.9908,2.95,0.64,11.4
North,1006,4.9,0.335,0.14,1.3,0.036,69,168,0.99212,3.47,0.46,10.46666667
East,693,6.1,0.23,0.45,10.6,0.094,49,169,0.99699,3.05,0.54,8.8
South,210,7.4,0.24,0.22,10.7,0.042,26,81,0.9954,2.86,0.36,9.7
East,1205,6.9,0.3,0.3,10.55,0.037,4,28,0.99184,3.07,0.32,12.7
North,510,6,0.3,0.44,1.5,0.046,15,182,0.99455,3.5,0.52,10.4
West,1051,6.3,0.57,0.28,2.1,0.048,13,49,0.99374,3.41,0.6,12.8
West,509,6,0.33,0.2,1.8,0.031,49,159,0.9919,3.41,0.53,11
North,774,7.7,0.35,0.49,8.65,0.033,42,186,0.9931,3.14,0.38,12.4
South,1321,6.5,0.29,0.31,1.7,0.035,24,79,0.99053,3.27,0.69,11.4
South,265,11.4,0.6,0.49,2.7,0.085,10,41,0.9994,3.15,0.63,10.5
North,1363,6.4,0.36,0.2,5.7,0.118,61,172,0.9946,3.24,0.43,9.5
North,1072,8.1,0.12,0.49,1.2,0.042,43,160,0.9934,3.13,0.48,9.7
West,295,7.2,0.17,0.34,6.4,0.042,16,111,0.99278,2.99,0.4,10.8
West,1385,8.3,0.28,0.48,2.1,0.093,6,12,0.99408,3.26,0.62,12.4
North,20,6.3,0.28,0.24,8.45,0.031,32,172,0.9958,3.39,0.57,9.7
North,357,6.5,0.27,0.19,6.6,0.045,98,175,0.99364,3.16,0.34,10.1
East,346,7.5,0.35,0.28,9.6,0.051,26,157,0.9969,3.12,0.53,9.2
West,297,6.4,0.17,0.3,2.8,0.034,33,125,0.99152,3.03,0.49,10.4
West,246,6.8,0.46,0.26,2.7,0.042,28,83,0.99114,3.38,0.51,12
West,713,6.1,0.32,0.37,1.8,0.051,13,200,0.9945,3.49,0.44,10.5
North,1427,12.3,0.27,0.49,3.1,0.079,28,46,0.9993,3.2,0.8,10.2
East,1511,10.8,0.89,0.3,2.6,0.132,7,60,0.99786,2.99,1.18,10.2
North,1274,6.8,0.29,0.34,3.5,0.054,26,189,0.99489,3.42,0.58,10.4
West,896,7.5,0.24,0.31,13.1,0.05,26,180,0.99884,3.05,0.53,9.1
South,1475,8.3,0.56,0.22,2.4,0.082,10,86,0.9983,3.37,0.62,9.5
South,1465,8.4,0.4,0.7,13.1,0.042,29,197,0.998,3.06,0.64,9.7
West,931,5.7,0.695,0.06,6.8,0.042,9,84,0.99432,3.44,0.44,10.2
East,753,6.9,0.33,0.28,1.3,0.051,37,187,0.9927,3.27,0.6,10.3
West,1404,8.1,0.4,0.32,7.9,0.031,23,118,0.99176,3.05,0.46,13.3
East,1578,6.5,0.37,0.3,2.2,0.033,39,107,0.98894,3.22,0.53,13.5
South,1500,6.8,0.27,0.49,1.2,0.044,35,126,0.99,3.13,0.48,12.1
East,858,6.4,0.15,0.31,1.1,0.044,25,96,0.9932,3.54,0.51,10.3
East,238,10.2,0.49,0.63,2.9,0.072,10,26,0.9968,3.16,0.78,12.5
South,1212,6.6,0.23,0.3,14.9,0.051,33,118,0.99835,3.04,0.54,9
South,1559,7.8,0.645,0,5.5,0.086,5,18,0.9986,3.4,0.55,9.6
North,415,6.6,0.58,0,2.2,0.1,50,63,0.99544,3.59,0.68,11.4
East,815,7.6,0.39,0.32,3.6,0.035,22,93,0.99144,3.08,0.6,12.5
North,880,7.9,0.37,0.31,2.85,0.037,5,24,0.9911,3.19,0.36,11.9
East,1185,7.1,0.59,0,2.2,0.078,26,44,0.99522,3.42,0.68,10.8
East,696,7,0.32,0.24,6.2,0.048,31,228,0.9957,3.23,0.62,9.4
North,752,8.6,0.42,0.39,1.8,0.068,6,12,0.99516,3.35,0.69,11.7
North,922,6.7,0.64,0.23,2.1,0.08,11,119,0.99538,3.36,0.7,10.9
North,613,7,0.36,0.21,2.4,0.086,24,69,0.99556,3.4,0.53,10.1
South,1510,7,0.69,0.07,2.5,0.091,15,21,0.99572,3.38,0.6,11.3
East,799,6.9,0.18,0.38,6.5,0.039,20,110,0.9943,3.1,0.42,10.5
South,1496,8,0.27,0.57,10.4,0.053,18,134,0.99732,3.12,0.68,9
East,850,7.1,0.15,0.34,5.3,0.034,33,104,0.9953,3.37,0.52,9.3
South,517,6.4,0.28,0.19,5.4,0.042,67,181,0.99435,3.31,0.35,10.2
East,1577,6.6,0.32,0.22,16.7,0.046,38,133,0.9979,3.22,0.67,10.4
East,714,6.4,0.29,0.21,9.65,0.041,36,119,0.99334,2.99,0.34,10.93333333
East,1196,5.6,0.32,0.33,7.4,0.037,25,95,0.99268,3.25,0.49,11.1
South,1049,7.2,0.57,0.06,1.6,0.076,9,27,0.9972,3.36,0.7,9.6
East,408,5.7,0.32,0.5,2.6,0.049,17,155,0.9927,3.22,0.64,10
North,709,8.3,0.21,0.41,2.2,0.05,24,108,0.994,2.85,0.45,9.5
West,324,8.7,0.15,0.3,1.6,0.046,29,130,0.9942,3.22,0.38,9.8
South,896,6.1,0.34,0.46,4.7,0.029,21,94,0.991,3.29,0.62,12.3
North,1,5.8,0.2,0.34,1,0.035,40,86,0.98993,3.5,0.42,11.7
North,1541,7.3,0.18,0.29,1.2,0.044,12,143,0.9918,3.2,0.48,11.3
South,322,7.2,0.39,0.44,2.6,0.066,22,48,0.99494,3.3,0.84,11.5
East,200,7.2,0.23,0.33,12.7,0.049,50,183,0.9987,3.41,0.4,9.8
North,7,6.8,0.12,0.31,5.2,0.045,29,120,0.9942,3.41,0.46,9.8
East,386,6.8,0.21,0.37,7,0.038,27,107,0.99206,2.98,0.82,11.5
South,1243,7.2,0.19,0.31,6.3,0.034,17,103,0.99305,3.15,0.52,11.4
North,212,8.8,0.52,0.34,2.7,0.087,24,122,0.9982,3.26,0.61,9.5
South,1396,6.7,1.04,0.08,2.3,0.067,19,32,0.99648,3.52,0.57,11
West,604,8.2,0.34,0.29,5.2,0.076,19,92,0.99138,2.95,0.39,12.5
South,576,7.7,0.32,0.61,11.8,0.041,66,188,0.99794,3,0.54,9.3
South,803,6.7,0.48,0.32,1.4,0.021,22,121,0.9889,3.15,0.53,12.7
East,239,6.2,0.29,0.23,12.4,0.048,33,201,0.99612,3.11,0.56,9.9
North,1438,12.7,0.6,0.49,2.8,0.075,5,19,0.9994,3.14,0.57,11.4
South,163,6.5,0.08,0.33,1.9,0.028,23,93,0.991,3.34,0.7,12
South,1113,8.1,0.87,0,2.2,0.084,10,31,0.99656,3.25,0.5,9.8
West,1482,8.3,0.61,0.3,2.1,0.084,11,50,0.9972,3.4,0.61,10.2
North,1521,7.1,0.26,0.32,14.45,0.074,29,107,0.998,2.96,0.42,9.2
West,1264,7.3,0.4,0.28,6.5,0.037,26,97,0.99148,3.16,0.58,12.6
West,1419,6.2,0.2,0.49,1.6,0.065,17,143,0.9937,3.22,0.52,9.2
South,1497,6.4,0.43,0.32,1.4,0.048,10,67,0.992,3.08,0.41,11.4
West,61,5.7,0.27,0.16,9,0.053,32,111,0.99474,3.36,0.37,10.4
South,862,6.8,0.67,0.15,1.8,0.118,13,20,0.9954,3.42,0.67,11.3
North,449,6.8,0.11,0.27,8.6,0.044,45,104,0.99454,3.2,0.37,9.9
West,92,8.3,0.49,0.23,6.65,0.034,6,158,0.99344,3.05,0.48,11.2
South,480,8.2,0.2,0.49,3.5,0.057,14,108,0.9928,3.19,0.35,11.5
South,1573,8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9
West,640,6.4,0.24,0.49,5.8,0.053,25,120,0.9942,3.01,0.98,10.5
West,578,6.1,0.15,0.29,6.2,0.046,39,151,0.99471,3.6,0.44,10.6
South,1462,7.8,0.31,0.4,1.6,0.027,20,87,0.9911,3.15,0.48,11.9
West,1077,8.9,0.32,0.31,2,0.088,12,19,0.9957,3.17,0.55,10.4
East,1267,6.4,0.22,0.32,12,0.066,57,158,0.9992,3.6,0.43,9
South,554,8.6,0.725,0.24,6.6,0.117,31,134,1.0014,3.32,1.07,9.3
West,608,6.6,0.23,0.32,1.5,0.041,8,72,0.98949,3.22,0.39,12.7
South,377,8.4,0.17,0.31,5.4,0.052,47,150,0.9953,3.24,0.38,9.8
West,1075,7.9,0.32,0.51,1.8,0.341,17,56,0.9969,3.04,1.08,9.2
North,566,8.8,0.3,0.38,2.3,0.06,19,72,0.99543,3.39,0.72,11.8
East,144,6.7,0.54,0.28,5.4,0.06,21,105,0.9949,3.27,0.37,9
South,1183,7.9,0.69,0.21,2.1,0.08,33,141,0.9962,3.25,0.51,9.9
North,1150,7.4,0.39,0.23,7,0.033,29,126,0.994,3.14,0.42,10.5
South,1345,6.1,0.22,0.23,3.1,0.052,15,104,0.9948,3.14,0.42,8.7
East,944,8.8,0.28,0.45,6,0.022,14,49,0.9934,3.01,0.33,11.1
North,474,7.2,0.31,0.5,13.3,0.056,68,195,0.9982,3.01,0.47,9.2
West,238,7,0.17,0.37,5.7,0.025,29,111,0.9938,3.2,0.49,10.8
East,948,9.7,0.32,0.54,2.5,0.094,28,83,0.9984,3.28,0.82,9.6
East,1081,9.4,0.3,0.56,2.8,0.08,6,17,0.9964,3.15,0.92,11.7
West,1440,6.8,0.18,0.28,9.8,0.039,29,113,0.99406,3.11,0.45,10.9
East,571,7.5,0.23,0.29,2.6,0.031,24,98,0.99194,3,0.54,10.9
West,86,7.9,0.51,0.36,6.2,0.051,30,173,0.9984,3.09,0.53,9.7
West,1330,6.4,0.27,0.29,10.8,0.028,17,118,0.99356,3.18,0.37,11.2
East,795,8,0.24,0.26,1.7,0.033,36,136,0.99316,3.44,0.51,10.4
West,490,7.9,0.31,0.22,13.3,0.048,46,212,0.99942,3.47,0.59,10
East,515,7.6,0.29,0.42,1.3,0.035,18,86,0.9908,2.99,0.39,11.3
North,1458,6.8,0.32,0.37,3.4,0.023,19,87,0.9902,3.14,0.53,12.7
South,340,5.6,0.12,0.33,2.9,0.044,21,73,0.98896,3.17,0.32,12.9
West,28,6.6,0.41,0.24,4.9,0.158,47,144,0.99471,3.17,0.49,9.4
West,979,6.9,0.2,0.37,6.2,0.027,24,97,0.992,3.38,0.49,12.2
North,1035,8.2,0.23,0.4,1.2,0.027,36,121,0.992,3.12,0.38,10.7
West,1206,7.2,0.2,0.38,1,0.037,21,74,0.9918,3.21,0.37,11
South,643,7.9,0.54,0.34,2.5,0.076,8,17,0.99235,3.2,0.72,13.1
West,884,7.6,0.55,0.21,2.2,0.071,7,28,0.9964,3.28,0.55,9.7
North,567,6.6,0.64,0.31,6.1,0.083,7,49,0.99718,3.35,0.68,10.3
North,1070,8.9,0.3,0.35,4.6,0.032,32,148,0.99458,3.15,0.45,11.5
North,268,9.2,0.71,0.23,6.2,0.042,15,93,0.9948,2.89,0.34,10.1
South,186,7.8,0.26,0.49,3.1,0.045,21,116,0.9931,3.16,0.35,10.3
South,466,8.4,0.35,0.56,13.8,0.048,55,190,0.9993,3.07,0.58,9.4
North,1192,7.3,0.29,0.3,13,0.043,46,238,0.9986,3.06,0.41,8.7
North,1399,7.4,0.24,0.26,1.6,0.058,53,150,0.9936,3.18,0.5,9.9
East,1411,6.9,0.635,0.17,2.4,0.241,6,18,0.9961,3.4,0.59,10.3
West,1624,5.8,0.19,0.33,4.2,0.038,49,133,0.99107,3.16,0.42,11.3
East,358,6.9,0.26,0.29,4.2,0.043,33,114,0.9902,3.16,0.31,12.5
East,354,6.5,0.22,0.25,17.1,0.05,44,138,1.0001,3.3,0.37,8.8
South,668,6.3,0.3,0.48,1.8,0.069,18,61,0.9959,3.44,0.78,10.3
North,389,8,0.2,0.4,5.2,0.055,41,167,0.9953,3.18,0.4,10.6
South,859,7.9,0.16,0.3,7.4,0.05,58,152,0.99612,3.12,0.37,9.5
East,1241,5,0.44,0.04,18.6,0.039,38,128,0.9985,3.37,0.57,10.2
North,487,7.1,0.56,0.14,1.6,0.078,7,18,0.99592,3.27,0.62,9.3
East,1013,5.7,0.23,0.25,7.95,0.042,16,108,0.99486,3.44,0.61,10.3
West,185,7.6,0.32,0.58,16.75,0.05,43,163,0.9999,3.15,0.54,9.2
South,422,6.1,0.41,0,1.6,0.063,36,87,0.9914,3.27,0.67,10.8
East,1165,6.5,0.26,0.74,13.3,0.044,68,224,0.9972,3.18,0.54,9.5
West,936,7.3,0.25,0.41,1.8,0.037,52,165,0.9911,3.29,0.39,12.2
West,568,5.9,0.32,0.19,14.5,0.042,37,115,0.99684,3.16,0.43,10.3
South,1230,7.2,0.32,0.3,8.25,0.02,14,104,0.99362,2.99,0.44,11.4
North,533,8.1,0.87,0,3.3,0.096,26,61,1.00025,3.6,0.72,9.8
East,1008,6.5,0.26,0.28,12.5,0.046,80,225,0.99685,3.18,0.41,10
South,1583,6,0.31,0.27,2.3,0.042,19,120,0.98952,3.32,0.41,12.7
West,1191,6.1,0.17,0.28,4.5,0.033,46,150,0.9933,3.43,0.49,10.9
East,374,6.6,0.56,0.16,3.1,0.045,28,92,0.994,3.12,0.35,9.1
North,1488,7.1,0.47,0.24,6,0.044,11,77,0.9956,3.21,0.56,9.7
North,639,6.9,0.74,0.03,2.3,0.054,7,16,0.99508,3.45,0.63,11.5
North,1474,7,0.64,0.02,2.1,0.067,9,23,0.997,3.47,0.67,9.4
East,316,6.2,0.3,0.21,1.1,0.032,31,111,0.9889,2.97,0.42,12.2
East,302,6,0.28,0.29,19.3,0.051,36,174,0.99911,3.14,0.5,9
East,634,6.3,0.3,0.29,2.1,0.048,33,142,0.98956,3.22,0.46,12.9
North,608,5.4,0.255,0.33,1.2,0.051,29,122,0.99048,3.37,0.66,11.3
South,1387,8.6,0.22,0.33,1.2,0.031,38,95,0.99239,2.83,0.31,10.3
West,924,7.2,0.58,0.03,2.3,0.077,7,28,0.99568,3.35,0.52,10
South,285,6.4,0.23,0.33,1.15,0.044,15.5,217.5,0.992,3.33,0.44,11
East,1204,7.8,0.815,0.01,2.6,0.074,48,90,0.99621,3.38,0.62,10.8
South,1414,5.8,0.38,0.26,1.1,0.058,20,140,0.99271,3.27,0.43,9.7
East,932,7.8,0.53,0.04,1.7,0.076,17,31,0.9964,3.33,0.56,10
North,276,6.6,0.26,0.56,15.4,0.053,32,141,0.9981,3.11,0.49,9.3
South,1053,6.7,0.27,0.3,13.9,0.029,34,131,0.9953,3.36,0.5,12
North,423,6.4,0.16,0.32,8.75,0.038,38,118,0.99449,3.19,0.41,10.7
North,1552,6.4,0.33,0.31,5.5,0.048,42,173,0.9951,3.19,0.66,9.3
East,874,7.6,0.27,0.24,3.8,0.058,19,115,0.9958,3.15,0.45,8.9
East,564,6.9,0.58,0.2,1.75,0.058,8,22,0.99322,3.38,0.49,11.7
East,747,6.8,0.27,0.42,7.3,0.054,58,200,0.99556,3.12,0.49,9.4
South,1412,8.3,0.65,0.1,2.9,0.089,17,40,0.99803,3.29,0.55,9.5
South,509,5.8,0.31,0.32,4.5,0.024,28,94,0.98906,3.25,0.52,13.7
North,272,6.4,0.27,0.45,8.3,0.05,52,196,0.9955,3.18,0.48,9.5
